Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
March;Aceh;0.03;-10.74;2.66;-12.66;-9.32;-8.95
April;Aceh;-13.13;-26.8;10.23;-47.27;-26.27;-22.13
May;Aceh;2.65;-14.35;8.23;-44.68;-15.68;-23.32
June;Aceh;1.47;-9.03;5.37;-37.67;-6.67;-10.6
July;Aceh;5.77;-9.68;5.29;-30.87;-4.16;-10.55
Augst;Aceh;5.32;-2.77;4.29;-29.19;-3.65;-12.39
September;Aceh;2.23;-14.07;5.4;-26.5;-8.83;-11.6
October;Aceh;4.45;-11.42;0.52;-22.16;-9.16;-19.87
November;Aceh;1.27;-20.3;-3.33;-23.1;-11.17;-18.47
December;Aceh;7.68;-9.32;-0.19;-12.1;-7.52;-22.13
January;Aceh;-2.13;-19.74;-0.94;-22.39;-16.13;-23.32
February;Aceh;-0.98;-14.35;-4.51;-17.26;-10.19;-15.6
March;Bali;-14.34;-34.42;8.76;-38.97;-23.71;-22.21
April;Bali;-34.4;-59.9;18.7;-71.03;-45.33;-40.87
May;Bali;-34.94;-63.77;19.55;-79.45;-46.52;-40.52
June;Bali;-31.3;-54.73;16.63;-75.3;-40.07;-35.13
July;Bali;-28.94;-45.39;15.32;-70.55;-35.9;-35.61
Augst;Bali;-26.29;-36;13.48;-63.61;-32.74;-34.9
September;Bali;-25.17;-35;13.87;-63.97;-34.53;-38.53
October;Bali;-23.97;-34.9;12.71;-62.16;-35.74;-36.48
November;Bali;-23.9;-36;9.9;-56.93;-34.17;-34.43
December;Bali;-17.9;-35;11.61;-50.13;-31.19;-35.1
January;Bali;-31.58;-50.71;13.16;-66.81;-42.32;-40.52
February;Bali;-20.84;-36.93;8.14;-47.84;-29;-33
March;Bangka Belitung Islands;-2.16;-11.05;3.5;-20.45;-15;-9.71
April;Bangka Belitung Islands;-15.2;-30.5;13.3;-64.2;-38.1;-25.33
May;Bangka Belitung Islands;-2.74;-25.68;12.87;-68.06;-28.03;-26.48
June;Bangka Belitung Islands;-5.67;-17.73;10.2;-59.57;-24.97;-14.9
July;Bangka Belitung Islands;3;-12.16;8.26;-41.06;-17.97;-14.16
Augst;Bangka Belitung Islands;3.68;2.61;5.87;-36.26;-14.77;-13.61
September;Bangka Belitung Islands;5.17;-1.93;5.97;-33;-16.53;-11.4
October;Bangka Belitung Islands;6.13;1.97;2.94;-30.42;-19.55;-20.42
November;Bangka Belitung Islands;4.23;-3.37;-0.43;-23.6;-19.53;-19.27
December;Bangka Belitung Islands;5.52;2.03;3.71;-17.84;-16.97;-24.45
January;Bangka Belitung Islands;-12.55;-17.97;5.97;-37.74;-28.94;-29.16
February;Bangka Belitung Islands;-7.58;-13.21;0.02;-24.72;-18.49;-19.23
March;Banten;-2;-4.16;7.95;-27.68;-12.03;-11.97
April;Banten;-20.23;-31.07;19.8;-65.37;-39.13;-34.63
May;Banten;-9.97;-24.77;19.81;-65.13;-33.13;-37.74
June;Banten;-7.17;-4.87;14.67;-55.37;-20.77;-23.13
July;Banten;-3.94;5.1;12.65;-47.29;-11.23;-21.1
Augst;Banten;-2.74;13.77;11.71;-43.23;-10.13;-21.9
September;Banten;-5.07;1.47;14.07;-46;-13.53;-20.53
October;Banten;-2.87;4.61;12.61;-43.48;-14.19;-23.06
November;Banten;-3.17;3.93;10.07;-37.87;-12.67;-19.7
