Month;Province;Mobility_change
March;Aceh;0.03
April;Aceh;-13.13
May;Aceh;2.65
June;Aceh;1.47
July;Aceh;5.77
Augst;Aceh;5.32
September;Aceh;2.23
October;Aceh;4.45
November;Aceh;1.27
December;Aceh;7.68
January;Aceh;-2.13
February;Aceh;-0.98
March;Bali;-14.34
April;Bali;-34.4
May;Bali;-34.94
June;Bali;-31.3
July;Bali;-28.94
Augst;Bali;-26.29
September;Bali;-25.17
October;Bali;-23.97
November;Bali;-23.9
December;Bali;-17.9
January;Bali;-31.58
February;Bali;-20.84
March;Bangka Belitung Islands;-2.16
April;Bangka Belitung Islands;-15.2
May;Bangka Belitung Islands;-2.74
June;Bangka Belitung Islands;-5.67
July;Bangka Belitung Islands;3
Augst;Bangka Belitung Islands;3.68
September;Bangka Belitung Islands;5.17
October;Bangka Belitung Islands;6.13
November;Bangka Belitung Islands;4.23
December;Bangka Belitung Islands;5.52
January;Bangka Belitung Islands;-12.55
February;Bangka Belitung Islands;-7.58
March;Banten;-2
April;Banten;-20.23
May;Banten;-9.97
June;Banten;-7.17
July;Banten;-3.94
Augst;Banten;-2.74
September;Banten;-5.07
October;Banten;-2.87
November;Banten;-3.17
December;Banten;1.65
January;Banten;-9.71
February;Banten;-3.28
March;Bengkulu;-0.16
April;Bengkulu;-17.83
May;Bengkulu;-8.65
June;Bengkulu;-1.77
July;Bengkulu;5.29
Augst;Bengkulu;7.45
September;Bengkulu;8.17
October;Bengkulu;13.06
November;Bengkulu;12.4
December;Bengkulu;18.19
January;Bengkulu;4.26
February;Bengkulu;4.91
March;Central Java;-2.55
April;Central Java;-15.57
May;Central Java;-6.61
June;Central Java;-2.63
July;Central Java;-0.29
Augst;Central Java;5.03
September;Central Java;1.13
October;Central Java;4.1
November;Central Java;1.73
December;Central Java;5.74
January;Central Java;-8.77
February;Central Java;-5.58
March;Central Kalimantan;-2.03
April;Central Kalimantan;-21.03
May;Central Kalimantan;-17.45
June;Central Kalimantan;-15.23
July;Central Kalimantan;-7.42
Augst;Central Kalimantan;-2.65
September;Central Kalimantan;-2.6
October;Central Kalimantan;4
November;Central Kalimantan;3.13
December;Central Kalimantan;9.32
January;Central Kalimantan;-5.42
February;Central Kalimantan;-1.91
March;Central Sulawesi;-0.89
April;Central Sulawesi;-19.73
May;Central Sulawesi;-6.97
June;Central Sulawesi;-6.47
July;Central Sulawesi;-0.26
Augst;Central Sulawesi;5.32
September;Central Sulawesi;3.63
October;Central Sulawesi;4.32
November;Central Sulawesi;5.5
December;Central Sulawesi;15.45
January;Central Sulawesi;0.81
February;Central Sulawesi;-1
March;East Java;-0.76
April;East Java;-16.13
May;East Java;-11.81
June;East Java;-5.87
July;East Java;-3.55
Augst;East Java;-0.61
September;East Java;-0.9
October;East Java;1.52
November;East Java;1.57
December;East Java;3.84
January;East Java;-9.58
February;East Java;-4.07
March;East Kalimantan;-0.74
April;East Kalimantan;-19.13
May;East Kalimantan;-6.26
June;East Kalimantan;-4.37
July;East Kalimantan;-1.61
Augst;East Kalimantan;-2.45
September;East Kalimantan;-1.13
October;East Kalimantan;4.26
November;East Kalimantan;2.63
December;East Kalimantan;9.74
January;East Kalimantan;-2.45
February;East Kalimantan;-1.37
March;East Nusa Tenggara;-5.68
April;East Nusa Tenggara;-20.1
May;East Nusa Tenggara;-16.74
June;East Nusa Tenggara;-5.77
July;East Nusa Tenggara;1.71
Augst;East Nusa Tenggara;9.16
September;East Nusa Tenggara;7.5
October;East Nusa Tenggara;10.1
November;East Nusa Tenggara;11.83
December;East Nusa Tenggara;19.68
January;East Nusa Tenggara;-5.29
February;East Nusa Tenggara;-7.74
March;Gorontalo;2
April;Gorontalo;-18.77
May;Gorontalo;-19.26
June;Gorontalo;-12.63
July;Gorontalo;-6.84
Augst;Gorontalo;-1.61
September;Gorontalo;3.8
October;Gorontalo;10.42
November;Gorontalo;9.53
December;Gorontalo;16.81
January;Gorontalo;-0.03
February;Gorontalo;1.16
March;Jakarta;-4.76
April;Jakarta;-29.83
May;Jakarta;-21.19
June;Jakarta;-12.97
July;Jakarta;-7.97
Augst;Jakarta;-9.87
September;Jakarta;-13.47
October;Jakarta;-12.81
November;Jakarta;-10.27
December;Jakarta;-6.55
January;Jakarta;-17.23
February;Jakarta;-7.19
March;Jambi;-1.21
April;Jambi;-17.8
May;Jambi;-9.29
June;Jambi;-5
July;Jambi;2.39
Augst;Jambi;4.45
September;Jambi;3.97
October;Jambi;4.58
November;Jambi;4.9
December;Jambi;12.13
January;Jambi;-0.77
February;Jambi;1.88
March;Lampung;-0.71
April;Lampung;-11.43
May;Lampung;0.06
June;Lampung;2.97
July;Lampung;8.74
Augst;Lampung;15.35
September;Lampung;10.37
October;Lampung;12.29
